layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,column_name,format_a_type,format_b_type
fairwy_TYPE_MISMATCH,,,,,,,,,souacc,float64,object
fairwy_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
fairwy_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
fairwy_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
fairwy_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
fairwy_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
face,10.0,11.0,10.0,1.0,0.0,8.0,False,feature_id,,,
face_TYPE_MISMATCH,,,,,,,,,ruin,int32,object
face_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,object
face_TYPE_MISMATCH,,,,,,,,,quapos,int32,object
face_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,object
face_TYPE_MISMATCH,,,,,,,,,rcnm,int32,object
face_TYPE_MISMATCH,,,,,,,,,rcid,int32,object
face_TYPE_MISMATCH,,,,,,,,,posacc,float64,object
face_TYPE_MISMATCH,,,,,,,,,rver,int32,object
m_npub,25.0,26.0,25.0,1.0,0.0,10.0,False,feature_id,,,
m_npub_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
m_npub_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
m_npub_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
bcnspp,47.0,48.0,47.0,1.0,0.0,17.0,False,feature_id,,,
bcnspp_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
bcnspp_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
bcnspp_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
bcnspp_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
bcnspp_TYPE_MISMATCH,,,,,,,,,marsys,float64,object
bcnspp_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
bcnspp_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
bcnspp_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
bcnspp_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
bcnspp_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
bcnspp_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
bcnspp_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
bcnspp_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
bcnspp_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
bcnspp_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
bcnspp_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
bcnspp_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
prcare,29.0,30.0,29.0,1.0,0.0,12.0,False,feature_id,,,
prcare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
