attribute,gpkg,spatialite,notes
SAMPLE_F9_scamin,179999,179999,Feature 9 - scamin
SAMPLE_F9_sordat,20041105,20041105,Feature 9 - sordat
SAMPLE_F9_sorind,"US,US,reprt,DD-5636","US,US,reprt,DD-5636",Feature 9 - sorind
SAMPLE_F9_souacc,nan,nan,Feature 9 - souacc
SAMPLE_F9_trafic,4,4,Feature 9 - trafic
SAMPLE_F9_txtdsc,None,None,Feature 9 - txtdsc
SAMPLE_F9_verdat,nan,nan,Feature 9 - verdat
SAMPLE_FEATURE_10_SEPARATOR,--- FEATURE 10 ---,--- FEATURE 10 ---,Feature 10 sample
SAMPLE_F10_agen,550,550,Feature 10 - agen
SAMPLE_F10_datend,None,None,Feature 10 - datend
SAMPLE_F10_datsta,None,None,Feature 10 - datsta
SAMPLE_F10_drval1,nan,nan,Feature 10 - drval1
SAMPLE_F10_dsid_dsnm,US4CA60M,US4CA60M,Feature 10 - dsid_dsnm
SAMPLE_F10_dsid_edtn,37,37,Feature 10 - dsid_edtn
SAMPLE_F10_dsid_updn,6,6,Feature 10 - dsid_updn
SAMPLE_F10_fidn,275364775,275364775,Feature 10 - fidn
SAMPLE_F10_fids,4139,4139,Feature 10 - fids
SAMPLE_F10_geometry,"POLYGON ((-118.2728551 33.7198332, -118.2728122 33...","POLYGON ((-118.2728551 33.7198332, -118.2728122 33...",Feature 10 - geometry
SAMPLE_F10_grup,2,2,Feature 10 - grup
SAMPLE_F10_inform,None,None,Feature 10 - inform
SAMPLE_F10_lnam,02261069BBA7102B,02261069BBA7102B,Feature 10 - lnam
SAMPLE_F10_ninfom,None,None,Feature 10 - ninfom
SAMPLE_F10_nobjnm,None,None,Feature 10 - nobjnm
SAMPLE_F10_ntxtds,None,None,Feature 10 - ntxtds
SAMPLE_F10_objl,51,51,Feature 10 - objl
SAMPLE_F10_objnam,East Channel,East Channel,Feature 10 - objnam
SAMPLE_F10_orient,nan,nan,Feature 10 - orient
SAMPLE_F10_prim,3,3,Feature 10 - prim
SAMPLE_F10_rcid,3677,3677,Feature 10 - rcid
SAMPLE_F10_recdat,None,None,Feature 10 - recdat
SAMPLE_F10_recind,None,None,Feature 10 - recind
SAMPLE_F10_rver,1,1,Feature 10 - rver
SAMPLE_F10_scamax,nan,nan,Feature 10 - scamax
SAMPLE_F10_scamin,179999,179999,Feature 10 - scamin
SAMPLE_F10_sordat,20090410,20090410,Feature 10 - sordat
SAMPLE_F10_sorind,"US,US,graph,Chart 18746","US,US,graph,Chart 18746",Feature 10 - sorind
SAMPLE_F10_souacc,nan,nan,Feature 10 - souacc
SAMPLE_F10_trafic,4,4,Feature 10 - trafic
SAMPLE_F10_txtdsc,None,None,Feature 10 - txtdsc
SAMPLE_F10_verdat,nan,nan,Feature 10 - verdat
